,index,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_reg__estimator,param_reg__estimator__alpha,param_reg__estimator__l1_ratio,param_reg__estimator__penalty,param_reg__estimator__C,param_reg__estimator__kernel,param_reg__estimator__algorithm,param_reg__estimator__n_neighbors,param_reg__estimator__p,param_reg__estimator__weights,param_reg__estimator__criterion,param_reg__estimator__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,model
0,0,0.12864675521850585,0.004048517571258031,0.03011212348937988,0.0030618310232494233,Ridge(),0.25,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 0.25}",-0.14026125316126,-0.16495738407761512,-0.1761144346729314,-0.13198139960843575,-0.1546172686622245,0.15358634803649335,0.016013805890523994,21,Ridge()
1,1,0.13980603218078613,0.022827151512856424,0.029198265075683592,0.0028148475604228033,Ridge(),0.5,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 0.5}",-0.13786220377414313,-0.1579432034731251,-0.17364074372543475,-0.12754700050978454,-0.14893201619643276,0.14918503353578405,0.015945295646998137,20,Ridge()
2,2,0.1633521556854248,0.0063630289954763,0.029373788833618165,0.0028999961621499547,Ridge(),0.75,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 0.75}",-0.13627875743970044,-0.15414155993460327,-0.1715140587166957,-0.12505576093656853,-0.14619605520140222,0.14663723844579404,0.015801417472417388,19,Ridge()
3,3,0.16079773902893066,0.007019040985599528,0.030628204345703125,0.002673141993745554,Ridge(),1.0,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 1.0}",-0.13484154356040937,-0.15124004990580706,-0.16969197432902816,-0.12320728100726543,-0.14407601237411205,0.14461137223532441,0.015664273062348685,18,Ridge()
4,4,0.16751327514648437,0.016973853227121638,0.029388236999511718,0.0036399954958270344,Ridge(),1.25,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 1.25}",-0.13381927043460026,-0.1495439597478652,-0.16862584092129912,-0.12188003731778468,-0.14221080399580183,0.14321598248347023,0.01568588753831796,17,Ridge()
5,5,0.1401057720184326,0.018243450601465833,0.03346762657165527,0.006708451719060159,Ridge(),1.5,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 1.5}",-0.13287486048515004,-0.14839021958792697,-0.16777617519032992,-0.12082692956102452,-0.14043662123404202,0.1420609612116947,0.015743181181851338,15,Ridge()
6,6,0.16399431228637695,0.022124900227886934,0.04529528617858887,0.01017937396141622,Ridge(),1.75,,,,,,,,,,,"{'reg__estimator': Ridge(), 'reg__estimator__alpha': 1.75}",-0.13255152152997013,-0.14725427946715508,-0.16705525819170244,-0.12004040475341242,-0.1391316322737414,0.14120661924319627,0.015696822945112935,14,Ridge()
7,7,0.1246556282043457,0.01830088861784418,0.04215574264526367,0.01880826223196183,Lasso(),0.25,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 0.25}",-0.3765685326121043,-0.35556961820003335,-0.35650268911986066,-0.3600179743771732,-0.40150359236991934,0.3700324813358181,0.017468089953530365,98,Lasso()
8,8,0.14845914840698243,0.014189498179872553,0.03434906005859375,0.013757048972741041,Lasso(),0.5,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 0.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
9,9,0.12822413444519043,0.02538735321821817,0.045998430252075194,0.02951543784668756,Lasso(),0.75,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 0.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
10,10,0.13615736961364747,0.025569867085834194,0.04802265167236328,0.019690205916366773,Lasso(),1.0,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 1.0}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
11,11,0.1500798225402832,0.01446313456284359,0.03942084312438965,0.012990676562698391,Lasso(),1.25,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 1.25}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
12,12,0.13680992126464844,0.021949655275461947,0.03168501853942871,0.004857751057786908,Lasso(),1.5,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 1.5}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
13,13,0.21813979148864746,0.08914689406473486,0.07317643165588379,0.037883872794807864,Lasso(),1.75,,,,,,,,,,,"{'reg__estimator': Lasso(), 'reg__estimator__alpha': 1.75}",-0.3985156517116995,-0.38169731457302497,-0.3820443165603743,-0.3848684089285877,-0.41932174437974845,0.39328948723068696,0.014399570115507293,102,Lasso()
14,14,2.5609150886535645,0.10111177346498844,0.08070759773254395,0.04345484125345913,ElasticNet(),0.25,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.25, 'reg__estimator__l1_ratio': 0.0}",-0.14649287510217918,-0.15961017799181934,-0.17580833146878913,-0.14260915951714523,-0.14397388224525337,0.15369888526503725,0.01259567605572471,22,ElasticNet()
15,15,0.2240041732788086,0.10906654424567715,0.03954935073852539,0.019620803813279353,ElasticNet(),0.25,0.25,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.25, 'reg__estimator__l1_ratio': 0.25}",-0.2292614751175229,-0.23791260568448339,-0.24712631754017964,-0.24953329743521588,-0.23114934435106466,0.23899660802569328,0.008180970865335141,71,ElasticNet()
16,16,0.13427519798278809,0.03544069679226048,0.03414406776428223,0.01573839891136515,ElasticNet(),0.25,0.5,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.25, 'reg__estimator__l1_ratio': 0.5}",-0.2742589789604468,-0.26708387911517706,-0.2695236713207445,-0.2807401330448039,-0.2803305350749074,0.2743874395032159,0.0055261530487888694,86,ElasticNet()
17,17,0.12820496559143066,0.026072511906428234,0.034820032119750974,0.015718666920396373,ElasticNet(),0.25,0.75,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.25, 'reg__estimator__l1_ratio': 0.75}",-0.33156530437414145,-0.3094731636973405,-0.3104271764941809,-0.32093956810628704,-0.3436158500388244,0.32320421254215487,0.012988192860357201,94,ElasticNet()
18,18,1.8233368873596192,0.08579597626999985,0.026962804794311523,0.005824721378401104,ElasticNet(),0.5,0.0,,,,,,,,,,"{'reg__estimator': ElasticNet(), 'reg__estimator__alpha': 0.5, 'reg__estimator__l1_ratio': 0.0}",-0.15987773194842164,-0.16886241978311692,-0.1808418867486344,-0.15622901194261055,-0.15780894498095008,0.16472399908074672,0.009169317461867268,25,ElasticNet()
