iter	Passed	Remaining
336	2002	3938
337	2008	3933
338	2017	3934
339	2026	3933
340	2034	3931
341	2041	3927
342	2046	3919
343	2054	3917
344	2058	3907
345	2064	3902
346	2071	3897
347	2075	3887
348	2081	3883
349	2088	3879
350	2093	3870
351	2101	3869
352	2106	3860
353	2110	3851
354	2114	3841
355	2118	3832
356	2122	3822
357	2125	3812
358	2129	3802
359	2133	3792
360	2137	3783
361	2144	3779
362	2152	3777
363	2161	3777
364	2171	3778
365	2180	3776
366	2193	3783
367	2208	3792
368	2222	3801
369	2246	3824
370	2252	3818
371	2259	3813
372	2264	3806
373	2272	3803
374	2276	3794
375	2281	3787
376	2289	3783
377	2293	3774
378	2301	3770
379	2306	3763
380	2311	3755
381	2318	3751
382	2323	3742
383	2328	3734
384	2336	3731
385	2340	3722
386	2345	3714
387	2351	3709
388	2355	3700
389	2360	3692
390	2367	3687
391	2371	3678
392	2376	3669
393	2383	3665
394	2387	3657
395	2392	3649
396	2399	3644
397	2403	3635
398	2413	3635
399	2419	3629
400	2426	3625
401	2435	3622
402	2439	3614
403	2447	3610
404	2451	3602
405	2457	3595
406	2465	3592
407	2472	3587
408	2481	3585
409	2485	3576
410	2490	3569
411	2494	3560
412	2498	3550
413	2502	3541
414	2510	3538
415	2519	3537
416	2530	3537
417	2542	3540
418	2555	3543
419	2573	3553
420	2579	3547
421	2585	3540
422	2593	3538
423	2597	3528
424	2606	3526
425	2617	3527
426	2627	3525
427	2632	3517
428	2641	3516
429	2645	3506
430	2652	3501
431	2659	3496
432	2664	3488
433	2673	3486
434	2676	3476
435	2683	3471
436	2691	3467
437	2695	3459
438	2704	3455
439	2708	3447
440	2719	3447
441	2723	3438
442	2731	3434
443	2737	3427
444	2741	3418
445	2748	3413
446	2753	3406
447	2757	3397
448	2763	3391
449	2768	3384
450	2772	3375
451	2779	3369
452	2785	3363
453	2789	3354
454	2796	3349
455	2801	3341
456	2809	3338
457	2817	3333
458	2824	3329
459	2829	3322
460	2833	3313
461	2837	3304
462	2846	3301
463	2856	3299
464	2868	3300
465	2887	3308
466	2901	3311
467	2921	3320
468	2930	3317
469	2936	3310
470	2943	3306
471	2947	3297
472	2960	3297
473	2964	3289
474	2971	3284
475	2977	3277
476	2981	3269
477	2989	3264
478	2993	3256
479	3001	3251
480	3009	3247
481	3019	3245
482	3025	3238
483	3033	3233
484	3039	3227
485	3043	3218
486	3050	3213
487	3056	3206
488	3060	3198
489	3068	3193
490	3073	3185
491	3078	3178
492	3084	3171
493	3089	3164
494	3096	3159
495	3102	3152
496	3106	3143
497	3114	3139
498	3120	3132
499	3124	3124
500	3131	3118
501	3137	3112
502	3145	3107
503	3156	3106
504	3166	3103
505	3173	3098
506	3179	3091
507	3188	3087
508	3192	3079
509	3196	3070
510	3209	3071
511	3223	3072
512	3233	3069
513	3251	3073
514	3268	3077
515	3293	3089
516	3301	3084
517	3310	3080
518	3315	3072
519	3325	3070
520	3330	3062
521	3342	3060
522	3346	3052
523	3356	3048
524	3360	3040
525	3366	3033
526	3374	3028
527	3378	3020
528	3385	3014
529	3391	3007
530	3396	2999
531	3404	2994
532	3408	2986
533	3414	2979
534	3421	2974
535	3430	2969
536	3436	2963
537	3440	2954
538	3448	2949
539	3453	2942
540	3457	2933
541	3463	2926
542	3469	2919
543	3473	2911
544	3479	2904
545	3485	2898
546	3489	2890
547	3497	2884
548	3501	2876
549	3506	2868
550	3513	2863
551	3518	2855
552	3523	2847
553	3531	2842
554	3535	2834
555	3540	2827
556	3545	2819
557	3548	2811
558	3552	2802
559	3560	2797
560	3568	2792
561	3578	2789
562	3587	2784
563	3603	2785
564	3616	2784
565	3629	2782
566	3646	2784
567	3655	2779
568	3660	2772
569	3668	2767
570	3672	2759
571	3676	2751
572	3681	2743
573	3684	2734
574	3688	2726
575	3692	2718
576	3696	2709
577	3700	2701
578	3704	2693
579	3707	2685
580	3711	2676
581	3715	2668
582	3719	2660
583	3723	2652
584	3727	2644
585	3731	2635
586	3734	2627
587	3738	2619
588	3742	2611
589	3746	2603
590	3749	2595
591	3753	2586
592	3757	2578
593	3761	2570
594	3765	2562
595	3768	2554
596	3772	2546
597	3776	2538
598	3780	2530
599	3784	2522
600	3787	2514
601	3792	2507
602	3795	2499
603	3799	2491
604	3803	2483
605	3810	2477
606	3822	2474
607	3834	2472
608	3848	2470
609	3862	2469
610	3871	2465
611	3885	2463
612	3899	2462
613	3914	2460
614	3917	2452
615	3922	2445
616	3926	2437
617	3929	2429
618	3933	2421
619	3937	2413
620	3941	2405
621	3945	2397
622	3949	2389
623	3953	2382
624	3956	2374
625	3960	2366
626	3964	2358
627	3968	2350
628	3972	2342
629	3975	2335
630	3979	2327
631	3983	2319
632	3987	2311
633	3991	2304
634	3994	2296
635	3998	2288
636	4002	2280
637	4006	2273
638	4015	2268
639	4022	2262
640	4029	2256
641	4040	2253
642	4046	2246
643	4060	2244
644	4073	2242
645	4086	2239
646	4098	2236
647	4115	2235
648	4123	2230
649	4128	2223
650	4132	2215
651	4136	2207
652	4139	2199
653	4143	2192
654	4150	2186
655	4154	2178
656	4157	2170
657	4161	2163
658	4165	2155
659	4169	2148
660	4173	2140
661	4177	2132
662	4181	2125
663	4184	2117
664	4189	2110
665	4193	2102
666	4197	2095
667	4200	2087
668	4205	2080
669	4212	2074
670	4224	2071
671	4246	2072
672	4267	2073
673	4280	2070
674	4289	2065
675	4305	2063
676	4312	2057
677	4315	2049
678	4319	2042
679	4323	2034
680	4326	2026
681	4330	2019
682	4334	2011
683	4338	2004
684	4341	1996
685	4346	1989
686	4349	1981
687	4353	1974
688	4356	1966
689	4361	1959
690	4364	1951
691	4368	1944
692	4372	1936
693	4376	1929
694	4379	1922
695	4383	1914
696	4387	1907
697	4393	1901
698	4397	1893
699	4401	1886
700	4405	1878
701	4409	1871
702	4416	1865
703	4422	1859
704	4431	1854
705	4443	1850
706	4452	1845
707	4463	1841
708	4477	1837
709	4492	1834
710	4504	1830
711	4513	1825
712	4517	1818
713	4521	1811
714	4525	1803
715	4529	1796
716	4532	1789
717	4536	1781
718	4540	1774
719	4544	1767
720	4548	1759
721	4552	1752
722	4556	1745
723	4559	1738
724	4563	1731
725	4567	1723
726	4571	1716
727	4575	1709
728	4578	1702
729	4582	1694
730	4586	1687
731	4590	1680
732	4594	1673
733	4598	1666
734	4602	1659
735	4607	1652
736	4617	1647
737	4626	1642
738	4640	1638
739	4646	1632
740	4656	1627
741	4671	1624
742	4681	1619
743	4691	1614
744	4698	1608
745	4707	1602
746	4712	1595
747	4717	1589
748	4721	1582
749	4725	1575
750	4729	1568
751	4733	1561
752	4738	1554
753	4741	1547
754	4746	1540
755	4750	1533
756	4754	1526
757	4758	1519
758	4763	1512
759	4766	1505
760	4771	1498
761	4775	1491
762	4780	1484
763	4784	1477
764	4787	1470
765	4792	1463
766	4796	1457
767	4800	1450
768	4804	1443
769	4813	1437
770	4819	1431
771	4826	1425
772	4831	1418
773	4839	1413
774	4850	1408
775	4857	1402
776	4865	1396
777	4885	1393
778	4891	1387
779	4901	1382
780	4909	1376
781	4914	1370
782	4919	1363
783	4924	1356
784	4927	1349
785	4931	1342
786	4935	1335
787	4939	1328
788	4943	1322
789	4948	1315
790	4951	1308
791	4956	1301
792	4959	1294
793	4964	1287
794	4968	1281
795	4972	1274
796	4976	1267
797	4980	1260
798	4983	1253
799	4987	1246
800	4991	1240
801	4996	1233
802	4999	1226
803	5004	1219
804	5012	1214
805	5018	1207
806	5026	1202
807	5030	1195
808	5039	1189
809	5045	1183
810	5053	1177
811	5062	1172
812	5071	1166
813	5076	1160
814	5087	1154
815	5094	1148
816	5099	1142
817	5108	1136
818	5113	1130
819	5121	1124
820	5125	1117
821	5130	1110
822	5134	1104
823	5138	1097
824	5142	1090
825	5146	1084
826	5150	1077
827	5154	1070
828	5159	1064
829	5162	1057
830	5167	1050
831	5171	1044
832	5175	1037
833	5179	1030
834	5183	1024
835	5187	1017
836	5191	1011
837	5195	1004
838	5200	997
839	5204	991
840	5215	986
841	5226	980
842	5234	974
843	5240	968
844	5250	963
845	5263	958
846	5275	952
847	5282	946
848	5287	940
849	5295	934
850	5301	928
851	5311	922
852	5316	916
853	5320	909
854	5324	902
855	5327	896
856	5331	889
857	5335	883
858	5339	876
859	5342	869
860	5346	863
861	5350	856
862	5353	849
863	5359	843
864	5363	837
865	5367	830
866	5370	823
867	5374	817
868	5378	810
869	5382	804
870	5386	797
871	5390	791
872	5393	784
873	5397	778
874	5401	771
875	5405	765
876	5413	759
877	5417	752
878	5426	746
879	5431	740
880	5440	734
881	5444	728
882	5452	722
883	5460	716
884	5470	710
885	5480	705
886	5489	699
887	5505	694
888	5521	689
889	5529	683
890	5543	678
891	5551	672
892	5559	666
893	5569	660
894	5572	653
895	5579	647
896	5611	644
897	5632	639
898	5642	633
899	5656	628
900	5668	622
901	5677	616
902	5689	611
903	5699	605
904	5713	599
905	5723	593
906	5734	587
907	5744	582
908	5753	575
909	5763	570
910	5771	563
911	5779	557
912	5784	551
913	5790	544
914	5799	538
915	5806	532
916	5819	526
917	5830	520
918	5842	514
919	5861	509
920	5873	503
921	5886	497
922	5894	491
923	5907	485
924	5914	479
925	5928	473
926	5940	467
927	5949	461
928	5957	455
929	5963	448
930	5973	442
931	5980	436
932	5987	429
933	5995	423
934	6004	417
935	6017	411
936	6026	405
937	6045	399
938	6055	393
939	6068	387
940	6080	381
941	6100	375
942	6111	369
943	6123	363
944	6131	356
945	6138	350
946	6142	343
947	6146	337
948	6151	330
949	6155	323
950	6159	317
951	6163	310
952	6167	304
953	6171	297
954	6175	290
955	6179	284
956	6185	277
957	6189	271
958	6193	264
959	6199	258
960	6205	251
961	6213	245
962	6221	239
963	6225	232
964	6234	226
965	6241	219
966	6250	213
967	6260	206
968	6268	200
969	6272	194
970	6282	187
971	6294	181
972	6302	174
973	6310	168
974	6313	161
975	6317	155
976	6321	148
977	6325	142
978	6336	135
979	6349	129
980	6361	123
981	6372	116
982	6381	110
983	6395	103
984	6407	97
985	6416	91
986	6424	84
987	6439	78
988	6451	71
989	6466	65
990	6479	58
991	6492	52
992	6498	45
993	6510	39
994	6523	32
995	6535	26
996	6545	19
997	6557	13
998	6566	6
999	6587	0
