iter	RMSE
291	0.09066723777
292	0.0905362771
293	0.09039163963
294	0.09027737963
295	0.09020913918
296	0.09006363643
297	0.08986602139
298	0.08983662817
299	0.08969539664
300	0.08966866226
301	0.08953434318
302	0.08942739575
303	0.08931309201
304	0.08909077365
305	0.08896684936
306	0.08884687104
307	0.08870423
308	0.08858872324
309	0.08853146414
310	0.08840647743
311	0.088258955
312	0.08812634387
313	0.08801912684
314	0.0878498664
315	0.0877516561
316	0.08762710252
317	0.08749501713
318	0.08745655792
319	0.08734804667
320	0.08726886894
321	0.08716369008
322	0.08704901915
323	0.08695657928
324	0.08687607418
325	0.08683311947
326	0.08671082511
327	0.08662483066
328	0.08658860579
329	0.0865197468
330	0.08637976556
331	0.0862885064
332	0.08616406551
333	0.08606466979
334	0.08603305373
335	0.08591936357
336	0.0857762704
337	0.08567165833
338	0.08558454914
339	0.08547541936
340	0.08532821859
341	0.08520165544
342	0.08511192082
343	0.08503026752
344	0.08498961096
345	0.08485932639
346	0.08478523122
347	0.0847650293
348	0.08465545504
349	0.08449059233
350	0.084356109
351	0.08418677041
352	0.08407196895
353	0.08405415366
354	0.08400100747
355	0.08394294236
356	0.08387294956
357	0.08382865973
358	0.08375158702
359	0.08365224834
360	0.08351477634
361	0.0834281435
362	0.08332457226
363	0.0832396644
364	0.08312655099
365	0.08301570065
366	0.08290048328
367	0.08287956235
368	0.08278053375
369	0.08262953405
370	0.08256210134
371	0.08248184963
372	0.08240519012
373	0.08228962198
374	0.08217272447
375	0.08205663061
376	0.08187397547
377	0.08176322203
378	0.08167759045
379	0.08157512059
380	0.08141625488
381	0.08138914341
382	0.08135357628
383	0.08132662962
384	0.08122638796
385	0.08108841747
386	0.08101969516
387	0.08091526402
388	0.08086569134
389	0.08076533352
390	0.08065382537
391	0.08063646765
392	0.08061607871
393	0.0805324539
394	0.0804690823
395	0.08044096898
396	0.08042302504
397	0.0803967072
398	0.08033469096
399	0.08029503669
400	0.08013222673
401	0.08002901653
402	0.07994620145
403	0.07981920204
404	0.07973759264
405	0.07967244425
406	0.07956319994
407	0.07952768287
408	0.07946086615
409	0.07938174203
410	0.07934592128
411	0.07927292533
412	0.07921706311
413	0.07912814738
414	0.07899672594
415	0.07898250638
416	0.07888761845
417	0.07886733363
418	0.07884197141
419	0.07869259289
420	0.07864107725
421	0.07853652888
422	0.07843171694
423	0.07837336387
424	0.0783612677
425	0.07833451086
426	0.0782221793
427	0.07815152293
428	0.07805429449
429	0.07799897333
430	0.07793615011
431	0.07788634109
432	0.0778403786
433	0.07780881302
434	0.07774038025
435	0.07765500704
436	0.07757304003
437	0.07746107027
438	0.07741242142
439	0.07739148165
440	0.0773156263
441	0.07728652059
442	0.07727568354
443	0.07717812851
444	0.07708561416
445	0.07699433654
446	0.07692219442
447	0.0768582099
448	0.07683404944
449	0.07676319834
450	0.07664935782
451	0.07652958031
452	0.07648684472
453	0.07639602441
454	0.07630242444
455	0.07622202002
456	0.07611746288
457	0.07607358634
458	0.07601177707
459	0.07591610051
460	0.07589643657
461	0.07582017351
462	0.07574318654
463	0.0757062299
464	0.07561555733
465	0.07555498605
466	0.07553148663
467	0.07546266504
468	0.07542293334
469	0.07529979206
470	0.07528862434
471	0.07524632687
472	0.0751496671
473	0.07510444205
474	0.07509518501
475	0.07506263118
476	0.07495761114
477	0.07488311988
478	0.0747979195
479	0.07475938641
480	0.07463868336
481	0.0746222519
482	0.07458317417
483	0.0745119975
484	0.07450015353
485	0.07445202573
486	0.07439112362
487	0.07435725867
488	0.07430393188
489	0.07423046137
490	0.07419337325
491	0.07417185023
492	0.07407826149
493	0.07400134193
494	0.0739637463
495	0.07391702367
496	0.07386542035
497	0.07379053755
498	0.07373327115
499	0.07369452413
500	0.07367615573
501	0.07366265069
502	0.07363336335
503	0.07352510557
504	0.07343952556
505	0.07342121689
506	0.07335332604
507	0.07330472907
508	0.07321464867
509	0.07315886939
510	0.07309642985
511	0.07307018918
512	0.07298522222
513	0.07289158663
514	0.07280186969
515	0.07273327035
516	0.07266960582
517	0.07256482261
518	0.07247352868
519	0.07245901355
520	0.07240071205
521	0.0723322401
522	0.07221292773
523	0.07207811434
524	0.07197198277
525	0.0718710353
526	0.07181117929
527	0.07175257915
528	0.07169368989
529	0.07161111905
530	0.07153214117
531	0.07144023617
532	0.07139863232
533	0.07133410227
534	0.07128039405
535	0.07120051978
536	0.07114495511
537	0.07101938479
538	0.07095492505
539	0.0709021133
540	0.07079454269
541	0.07077590072
542	0.07071266886
543	0.07069471322
544	0.07061412077
545	0.07051377428
546	0.07044241185
547	0.07038750161
548	0.07034328379
549	0.07027380096
550	0.07021495975
551	0.0701404216
552	0.07007420212
553	0.07003724355
554	0.06999430283
555	0.06997416166
556	0.0699189872
557	0.06985565181
558	0.06980291664
559	0.06978693583
560	0.06970809213
561	0.06964134796
562	0.06960162036
563	0.06955375604
564	0.06954075443
565	0.06946706575
566	0.06941597219
567	0.06934714811
568	0.06932186868
569	0.06924795797
570	0.0691501293
571	0.06913905502
572	0.06905931416
573	0.06898300953
574	0.06890773803
575	0.06885315852
576	0.06876828969
577	0.06869492994
578	0.06865431857
579	0.06857827143
580	0.06851396474
581	0.06844111736
582	0.06840300592
583	0.06836626054
584	0.06831981337
585	0.06828196107
586	0.06818419382
587	0.06810460169
588	0.06802157816
589	0.06796610023
590	0.0678894761
591	0.06787275738
592	0.06779622376
593	0.06773030102
594	0.06763522127
595	0.06762255325
596	0.067606024
597	0.06746993542
598	0.06739800938
599	0.06736726826
600	0.06733591621
601	0.06728274421
602	0.06721498107
603	0.06719845478
604	0.06714113084
605	0.06707414306
606	0.06703556091
607	0.06694502114
608	0.06689358133
609	0.06687956775
610	0.06679031086
611	0.06672517216
612	0.06666874996
613	0.06661135112
614	0.06658361914
615	0.06654121534
616	0.06648410551
617	0.06647235071
618	0.06645999476
619	0.06638863519
620	0.06634711671
621	0.06633209447
622	0.06625868853
623	0.06620674697
624	0.06619637475
625	0.06611157094
626	0.06605099965
627	0.06599641065
628	0.06593605208
629	0.06587907464
630	0.06586672021
631	0.06585098944
632	0.06578191108
633	0.06574491092
634	0.06567077397
635	0.06560867127
636	0.0655795491
637	0.0655078811
638	0.06548104888
639	0.06542168987
640	0.06536324461
641	0.06532143366
642	0.06526995414
643	0.06521017581
644	0.06519974012
645	0.06514703394
646	0.06510180246
647	0.06501836991
648	0.06495359276
649	0.06491925794
650	0.0648744821
651	0.06479699067
652	0.0647417633
653	0.06469415795
654	0.06464845957
655	0.0645895798
656	0.06450795717
657	0.06444208923
658	0.06440142349
659	0.06439302251
660	0.06435541084
661	0.06430569352
662	0.06426494914
663	0.06424828658
664	0.0642262038
665	0.06416971987
666	0.06416148483
667	0.06414101624
668	0.06400677624
669	0.06393620958
670	0.06387328527
671	0.06381363149
672	0.06376286848
673	0.0637038008
674	0.06366051332
675	0.06357180403
676	0.06350441075
677	0.06346741522
678	0.06341505348
679	0.06334858939
680	0.06330666183
681	0.06329924765
682	0.06326763705
683	0.06317574751
684	0.0630876891
685	0.06301344559
686	0.0629414577
687	0.06284918193
688	0.06281180781
689	0.06275620328
690	0.06268794628
691	0.06268062095
692	0.06262247454
693	0.06257550751
694	0.06256770604
695	0.06251600646
696	0.06245897081
697	0.06238991413
698	0.06234361362
699	0.06227436743
700	0.06220520159
701	0.06211618138
702	0.06209328067
703	0.06202695498
704	0.06198547211
705	0.06193675601
706	0.06190448998
707	0.06182812749
708	0.06175555851
709	0.0616932859
710	0.06161798106
711	0.06153284624
712	0.06150341946
713	0.06146816438
714	0.06145376624
715	0.06139769433
716	0.06133106184
717	0.06125109127
718	0.06120196452
719	0.06112477674
720	0.06107552169
721	0.06102134704
722	0.06097829139
723	0.06092815804
724	0.06085310923
725	0.06078671848
726	0.06076666145
727	0.06071218684
728	0.06064551149
729	0.06063819386
730	0.06057235253
731	0.06051890866
732	0.06043098918
733	0.06041332632
734	0.06034942771
735	0.06026954428
736	0.06024541857
737	0.0601886486
738	0.06014545898
739	0.06009324654
740	0.0600478975
741	0.06002002755
742	0.05998233546
743	0.05992651769
744	0.0598926241
745	0.05985810833
746	0.05979501043
747	0.05977193459
748	0.059714198
749	0.05964118427
750	0.05959868322
751	0.05959173944
752	0.0595107093
753	0.05942178393
754	0.05936478931
755	0.05934351432
756	0.05926272806
757	0.05923679536
758	0.05916450525
759	0.05914589125
760	0.05911315221
761	0.05910583711
762	0.0590938364
763	0.05902114666
764	0.05901369073
765	0.0589333577
766	0.0588958247
767	0.05883652132
768	0.05880553759
769	0.05875162566
770	0.05868284786
771	0.0586496124
772	0.05862303969
773	0.05856476396
774	0.05850385624
775	0.05844714531
776	0.05841933365
777	0.05836134844
778	0.05832504159
779	0.05828369942
780	0.05826164261
781	0.05823539115
782	0.05817745784
783	0.05813715072
784	0.05807676896
785	0.05800796079
786	0.05791836177
787	0.05791194749
788	0.05786962774
789	0.05781879736
790	0.05776543365
791	0.05774449231
792	0.0577374779
793	0.05773063685
794	0.05765713126
795	0.05761076213
796	0.05756727484
797	0.05753798732
798	0.05748755782
799	0.05745613784
800	0.05741910534
801	0.05740964633
802	0.05736406087
803	0.05731084718
804	0.05725638272
805	0.05720625733
806	0.0571875861
807	0.05712849774
808	0.05708994305
809	0.05704849446
810	0.05699331984
811	0.05696784579
812	0.05691374957
813	0.05690036085
814	0.05686064969
815	0.05682781968
816	0.05679521118
817	0.05674823584
818	0.05671932149
819	0.0566679199
820	0.05664816699
821	0.05657573314
822	0.05654036893
823	0.05646663087
824	0.0564122991
825	0.05637516892
826	0.05632133465
827	0.05628007126
828	0.05620995828
829	0.05617806904
830	0.05611484877
831	0.0560634211
832	0.05603839623
833	0.05597378269
834	0.05595468091
835	0.05590948338
836	0.05584371243
837	0.05580270788
838	0.05574946925
839	0.05567990466
840	0.05562910581
841	0.05560057762
842	0.05555649694
843	0.05545977115
844	0.05539808511
845	0.05532700699
846	0.05525707421
847	0.05519037904
848	0.05513057831
849	0.05508168772
850	0.05501949133
851	0.05494862029
852	0.05485208838
853	0.05479581512
854	0.05474238585
855	0.05470062889
856	0.05465255247
857	0.05460361822
858	0.05459198536
859	0.05455707929
860	0.0545015819
861	0.05449586006
862	0.05445788626
863	0.05435428063
864	0.05434001064
865	0.0542731967
866	0.05420624742
867	0.0541970081
868	0.05414544419
869	0.05412008295
870	0.05407829996
871	0.0540249212
872	0.05397197378
873	0.05391143058
874	0.05387464556
875	0.05383937055
876	0.05379322626
877	0.05374379696
878	0.05372188981
879	0.05365452455
880	0.05360334439
881	0.05354276349
882	0.0534972909
883	0.05345395198
884	0.05339680099
885	0.05337254419
886	0.05335313576
887	0.05331962525
888	0.05326475838
889	0.05321508517
890	0.05317996193
891	0.05315120611
892	0.0531097944
893	0.05309959802
894	0.05306860681
895	0.0530211676
896	0.05299293969
897	0.05298813321
898	0.05297709776
899	0.05291489163
900	0.0528680487
901	0.05282940085
902	0.05277008301
903	0.0527638316
904	0.05272307307
905	0.05268484302
906	0.05264001186
907	0.05260249568
908	0.0525500805
909	0.05250089923
910	0.05247766446
911	0.05244128616
912	0.05238166688
913	0.05235231156
914	0.05229619409
915	0.05226747204
916	0.0522563072
917	0.05220561533
918	0.05216003445
919	0.05208120501
920	0.05206739189
921	0.05202242854
922	0.05199133023
923	0.05194983067
924	0.05190097614
925	0.0518584012
926	0.05181602844
927	0.05181199712
928	0.0518010803
929	0.05175263444
930	0.05168738699
931	0.05165546853
932	0.05155053831
933	0.0515104837
934	0.05145939632
935	0.05143299829
936	0.0514198187
937	0.05137924165
938	0.05135622352
939	0.05133784303
940	0.05123501905
941	0.05120623509
942	0.05118497071
943	0.05117211452
944	0.05115517927
945	0.05110901935
946	0.05107976379
947	0.0510763986
948	0.05102242996
949	0.05097103754
950	0.05091682071
951	0.05088093857
952	0.05086272424
953	0.05082635984
954	0.05077656709
955	0.05077214695
956	0.05071208791
957	0.05065770086
958	0.05062938797
959	0.05056614163
960	0.05052069901
961	0.05049718422
962	0.05046576077
963	0.05039866639
964	0.05035735011
965	0.0503057187
966	0.05029672455
967	0.05025964354
968	0.05023542586
969	0.05014441326
970	0.05014091663
971	0.0500947074
972	0.05006167809
973	0.0500120043
974	0.04998241697
975	0.04997498036
976	0.04995575877
977	0.04991235535
978	0.04987438968
979	0.04984254874
980	0.04981237976
981	0.04978835407
982	0.04976022557
983	0.04969435687
984	0.04964601181
985	0.0496237434
986	0.0495923423
987	0.04952705533
988	0.04949209696
989	0.04946473936
990	0.04940851509
991	0.04938684679
992	0.04933813448
993	0.0493228743
994	0.04928457246
995	0.04927250359
996	0.04922649603
997	0.04918574026
998	0.04915595054
999	0.04912818226
